open,high,low,close,volume
105.364,105.364,105.363,105.363,9.0
105.363,105.363,105.363,105.363,0.0
105.363,105.363,105.362,105.363,10.0
105.363,105.369,105.363,105.369,13.0
105.369,105.378,105.369,105.377,38.0
105.377,105.377,105.375,105.377,4.0
105.377,105.388,105.377,105.385,55.0
105.383,105.395,105.383,105.395,26.0
105.395,105.397,105.393,105.394,12.0
105.394,105.397,105.393,105.396,24.0
105.396,105.396,105.395,105.395,11.0
105.394,105.394,105.39,105.392,8.0
105.392,105.392,105.391,105.391,11.0
105.391,105.391,105.391,105.391,4.0
105.391,105.391,105.387,105.389,34.0
105.389,105.393,105.389,105.393,24.0
105.393,105.393,105.391,105.391,6.0
105.391,105.391,105.391,105.391,17.0
105.391,105.394,105.39,105.394,28.0
105.394,105.394,105.393,105.393,21.0
105.393,105.393,105.389,105.39,43.0
105.39,105.399,105.39,105.399,37.0
105.399,105.399,105.394,105.395,21.0
105.395,105.403,105.395,105.4,31.0
105.4,105.401,105.399,105.401,6.0
105.401,105.403,105.401,105.401,9.0
105.401,105.401,105.391,105.392,56.0
105.392,105.392,105.387,105.388,66.0
105.387,105.387,105.371,105.375,65.0
105.375,105.391,105.375,105.39,27.0
105.39,105.391,105.389,105.391,9.0
105.391,105.391,105.389,105.389,5.0
105.389,105.393,105.389,105.389,16.0
105.389,105.389,105.369,105.369,76.0
105.369,105.371,105.366,105.369,66.0
105.369,105.383,105.369,105.379,37.0
105.379,105.385,105.375,105.375,35.0
105.375,105.384,105.375,105.383,31.0
105.384,105.386,105.384,105.384,8.0
105.383,105.385,105.379,105.385,13.0
105.385,105.385,105.379,105.379,14.0
105.379,105.379,105.375,105.377,42.0
105.377,105.381,105.375,105.38,27.0
105.38,105.387,105.38,105.385,33.0
105.385,105.385,105.383,105.383,2.0
105.383,105.389,105.383,105.384,26.0
105.384,105.392,105.381,105.391,37.0
105.391,105.397,105.391,105.394,24.0
105.394,105.395,105.393,105.394,12.0
105.395,105.397,105.395,105.395,13.0
105.395,105.397,105.393,105.395,25.0
105.395,105.397,105.394,105.397,20.0
105.397,105.401,105.397,105.398,17.0
105.398,105.398,105.393,105.393,7.0
105.393,105.395,105.392,105.392,18.0
105.393,105.393,105.391,105.391,11.0
105.391,105.391,105.381,105.383,20.0
105.383,105.391,105.381,105.391,24.0
105.391,105.397,105.39,105.397,24.0
105.397,105.397,105.391,105.391,13.0
105.391,105.394,105.391,105.391,10.0
105.391,105.394,105.391,105.391,11.0
105.391,105.393,105.389,105.389,14.0
105.389,105.391,105.388,105.39,27.0
105.39,105.392,105.39,105.391,15.0
105.391,105.391,105.383,105.386,24.0
105.386,105.389,105.386,105.386,8.0
105.386,105.386,105.381,105.385,13.0
105.385,105.385,105.375,105.375,9.0
105.375,105.375,105.375,105.375,1.0
105.375,105.375,105.37,105.37,14.0
105.37,105.385,105.369,105.385,22.0
105.385,105.386,105.384,105.385,14.0
105.385,105.385,105.383,105.383,8.0
105.383,105.383,105.383,105.383,3.0
105.383,105.383,105.383,105.383,5.0
105.382,105.382,105.382,105.382,2.0
105.382,105.382,105.377,105.381,14.0
105.381,105.387,105.381,105.387,13.0
105.387,105.387,105.386,105.387,4.0
105.387,105.391,105.387,105.387,18.0
105.387,105.387,105.38,105.38,20.0
105.38,105.38,105.374,105.375,11.0
105.374,105.374,105.37,105.37,11.0
