Open,High,Low,Close,Volume
1.21615,1.21616,1.21613,1.21614,5.0
1.21614,1.21614,1.21609,1.21609,3.0
1.21609,1.21611,1.21609,1.21611,1.0
1.21611,1.21613,1.21611,1.21613,1.0
1.21613,1.21613,1.21613,1.21613,0.0
1.21613,1.21613,1.21613,1.21613,0.0
1.21613,1.21615,1.21613,1.21615,1.0
1.21615,1.21615,1.21613,1.21613,2.0
1.21613,1.21613,1.21613,1.21613,0.0
1.21613,1.21614,1.21613,1.21613,2.0
1.21613,1.21613,1.21611,1.21611,2.0
1.21611,1.21618,1.21611,1.21617,9.0
1.21617,1.21617,1.21617,1.21617,0.0
1.21621,1.21621,1.21617,1.21617,4.0
1.21617,1.21617,1.21616,1.21617,2.0
1.21617,1.21621,1.21614,1.21615,5.0
1.21615,1.21617,1.21613,1.21617,5.0
1.21617,1.21623,1.21617,1.21623,7.0
1.21623,1.21625,1.21622,1.21624,9.0
1.21624,1.21625,1.21619,1.21623,15.0
1.21623,1.21623,1.21617,1.21617,11.0
1.21616,1.21619,1.21603,1.21615,56.0
1.21617,1.21617,1.21611,1.21613,11.0
1.21614,1.21618,1.21613,1.21617,17.0
1.21618,1.21618,1.21615,1.21617,18.0
1.21617,1.21625,1.21615,1.21625,12.0
1.21625,1.21633,1.21623,1.21624,26.0
1.21625,1.21628,1.21622,1.21628,40.0
1.21628,1.21628,1.21624,1.21624,12.0
1.21624,1.21624,1.21623,1.21623,2.0
1.21623,1.21627,1.21623,1.21627,4.0
1.21627,1.21628,1.21622,1.21622,7.0
1.21622,1.21622,1.21621,1.21621,5.0
1.21621,1.21621,1.21621,1.21621,4.0
1.21621,1.21625,1.21621,1.21625,5.0
1.21625,1.21626,1.21624,1.21625,8.0
1.21625,1.21627,1.21625,1.21627,3.0
1.21627,1.2163,1.21627,1.2163,7.0
1.2163,1.21631,1.2163,1.21631,3.0
1.21631,1.21631,1.21626,1.21626,9.0
1.21627,1.21627,1.21609,1.21613,29.0
1.21613,1.21615,1.21613,1.21615,3.0
1.21615,1.21615,1.21614,1.21614,5.0
1.21614,1.21615,1.21614,1.21614,2.0
1.21615,1.21619,1.21615,1.21619,3.0
1.21621,1.21626,1.21621,1.21626,9.0
1.21626,1.21626,1.21613,1.21621,23.0
1.21621,1.21627,1.21621,1.21626,9.0
1.21623,1.21625,1.21623,1.21625,6.0
1.21625,1.21627,1.21623,1.21623,11.0
1.21623,1.21623,1.21621,1.21621,6.0
1.21621,1.21621,1.21621,1.21621,0.0
1.21621,1.21621,1.21621,1.21621,0.0
1.21621,1.21621,1.21619,1.2162,9.0
1.2162,1.2162,1.21612,1.21613,10.0
1.21613,1.21613,1.21613,1.21613,0.0
1.21613,1.21613,1.21613,1.21613,1.0
1.21613,1.21613,1.21612,1.21612,2.0
1.21612,1.21612,1.21612,1.21612,1.0
1.21612,1.21619,1.21612,1.21619,8.0
1.21619,1.21622,1.21619,1.21619,15.0
1.21619,1.21622,1.21619,1.21622,10.0
1.21621,1.21621,1.21613,1.21619,19.0
1.21619,1.21619,1.21619,1.21619,1.0
1.21619,1.21622,1.21618,1.21622,13.0
1.21622,1.21622,1.21619,1.21621,12.0
1.21621,1.21621,1.21621,1.21621,10.0
1.21622,1.21623,1.21621,1.21622,8.0
1.21622,1.21622,1.21621,1.21621,5.0
1.21621,1.21623,1.21621,1.21623,4.0
1.21623,1.21625,1.21623,1.21625,7.0
1.21625,1.21627,1.21623,1.21623,11.0
1.21623,1.21626,1.21623,1.21623,10.0
1.21623,1.21623,1.21621,1.21621,5.0
1.21621,1.21625,1.21621,1.21625,7.0
1.21625,1.21625,1.21625,1.21625,0.0
1.21625,1.21626,1.21625,1.21626,7.0
1.21626,1.21626,1.21622,1.21622,5.0
1.21622,1.21625,1.21622,1.21625,8.0
1.21625,1.21625,1.21623,1.21623,8.0
1.21623,1.21626,1.21623,1.21626,4.0
1.21626,1.21627,1.21623,1.21625,24.0
1.21625,1.21629,1.21624,1.21626,20.0
1.21626,1.21628,1.21626,1.21627,8.0
1.21627,1.21631,1.21626,1.21626,15.0
1.21626,1.21626,1.21623,1.21625,16.0
1.21626,1.21627,1.21623,1.21623,22.0
1.21623,1.21624,1.21623,1.21623,4.0
1.21623,1.21624,1.21623,1.21623,6.0
1.21623,1.21625,1.21623,1.21625,11.0
1.21625,1.21625,1.21623,1.21624,6.0
1.21624,1.21624,1.21619,1.21619,10.0
1.21619,1.21619,1.21609,1.2161,30.0
1.2161,1.2161,1.21605,1.21607,17.0
1.21607,1.21607,1.21604,1.21606,9.0
1.21607,1.21611,1.21607,1.2161,18.0
1.2161,1.21611,1.21609,1.21611,3.0
1.21611,1.21614,1.21609,1.2161,11.0
1.2161,1.21612,1.2161,1.21612,2.0
1.21612,1.21621,1.21612,1.21618,10.0
1.21618,1.21619,1.21612,1.21612,13.0
1.21612,1.21616,1.21612,1.21616,7.0
1.21616,1.21616,1.21615,1.21616,8.0
1.21615,1.21617,1.21615,1.21617,10.0
1.21617,1.21617,1.21616,1.21617,5.0
1.21617,1.21617,1.21616,1.21616,5.0
1.21616,1.21616,1.21612,1.21615,13.0
1.21615,1.21615,1.21615,1.21615,1.0
1.21615,1.21616,1.21615,1.21616,1.0
1.21616,1.2162,1.21616,1.2162,8.0
1.21619,1.21627,1.21619,1.21625,12.0
1.21626,1.21626,1.21622,1.21625,16.0
1.21625,1.21625,1.21625,1.21625,1.0
1.21625,1.21627,1.21625,1.21627,5.0
1.21627,1.21627,1.21627,1.21627,0.0
1.21627,1.21627,1.21627,1.21627,0.0
1.21627,1.21627,1.21627,1.21627,2.0
1.21627,1.21627,1.21627,1.21627,0.0
1.21627,1.21627,1.21627,1.21627,0.0
1.21627,1.21627,1.21627,1.21627,4.0
1.21627,1.21627,1.21627,1.21627,0.0
1.21627,1.21628,1.21627,1.21627,5.0
1.21627,1.21627,1.21625,1.21627,7.0
1.21627,1.21627,1.21627,1.21627,0.0
1.21627,1.21627,1.21627,1.21627,0.0
1.21627,1.21627,1.21627,1.21627,2.0
1.21627,1.21627,1.21627,1.21627,1.0
1.21627,1.21627,1.21627,1.21627,0.0
1.21627,1.21631,1.21627,1.21631,6.0
1.21631,1.21631,1.21631,1.21631,6.0
1.21631,1.21631,1.2163,1.2163,5.0
1.2163,1.21634,1.2163,1.21633,8.0
1.21633,1.21638,1.21633,1.21637,12.0
1.21637,1.21638,1.21627,1.21629,25.0
1.21629,1.21633,1.21627,1.21627,20.0
1.21627,1.21627,1.21625,1.21626,6.0
1.21626,1.21627,1.21626,1.21627,3.0
1.21627,1.21635,1.21627,1.21634,29.0
1.21634,1.21635,1.21634,1.21635,6.0
1.21634,1.21635,1.21631,1.21631,10.0
1.21631,1.21633,1.21631,1.21633,3.0
1.21633,1.21633,1.21627,1.21627,32.0
1.21627,1.21628,1.21626,1.21626,19.0
1.21625,1.21625,1.21621,1.21622,17.0
1.21622,1.21622,1.21621,1.21621,5.0
1.21621,1.21622,1.21621,1.21622,1.0
1.21622,1.21631,1.21622,1.21628,17.0
1.21628,1.21637,1.21628,1.21633,21.0
1.21633,1.21637,1.21631,1.21637,11.0
1.21637,1.21642,1.21637,1.21642,20.0
1.21642,1.21643,1.2164,1.21642,15.0
1.21642,1.21651,1.21642,1.21643,17.0
1.21643,1.21643,1.2164,1.21641,8.0
1.21641,1.21642,1.21641,1.21641,8.0
1.21641,1.21641,1.21641,1.21641,7.0
1.21641,1.21641,1.21637,1.21639,8.0
1.21639,1.21644,1.21639,1.21644,10.0
1.21644,1.21647,1.21643,1.21647,17.0
1.21647,1.21649,1.21647,1.21649,3.0
1.21649,1.21652,1.21648,1.21649,8.0
1.21647,1.2165,1.21647,1.21649,8.0
1.21649,1.21661,1.21649,1.21657,34.0
1.21657,1.21657,1.2165,1.21651,8.0
1.21651,1.21651,1.21647,1.21647,11.0
1.21647,1.21653,1.21647,1.21653,12.0
1.21653,1.21657,1.21651,1.21657,12.0
1.21658,1.21659,1.21652,1.21653,14.0
1.21653,1.21655,1.21653,1.21653,4.0
1.21654,1.21657,1.21653,1.21656,8.0
1.21656,1.21669,1.21656,1.21669,18.0
1.21669,1.21669,1.21667,1.21668,3.0
1.21667,1.21667,1.21653,1.21661,48.0
1.2166,1.21662,1.21658,1.21662,15.0
1.21663,1.21667,1.21663,1.21667,4.0
1.21667,1.21667,1.21667,1.21667,0.0
1.21667,1.21682,1.21667,1.2168,20.0
1.2168,1.21681,1.21677,1.21677,17.0
1.21677,1.21677,1.21671,1.21671,11.0
1.21671,1.21679,1.21669,1.21679,20.0
1.21679,1.21679,1.21675,1.21677,6.0
1.21677,1.21678,1.21675,1.21678,8.0
1.21678,1.2168,1.21678,1.21679,6.0
1.21679,1.2168,1.21679,1.2168,2.0
1.21679,1.21685,1.21679,1.21679,20.0
1.21679,1.21679,1.21675,1.21677,7.0
1.21677,1.21677,1.21675,1.21675,2.0
1.21675,1.21675,1.21675,1.21675,0.0
1.21675,1.21675,1.21675,1.21675,1.0
1.21675,1.21679,1.21675,1.21679,6.0
1.21679,1.2168,1.21675,1.21675,8.0
1.21675,1.21678,1.21675,1.21675,10.0
1.21675,1.21677,1.21675,1.21676,5.0
1.21676,1.21676,1.21676,1.21676,0.0
1.21675,1.21675,1.21675,1.21675,2.0
1.21675,1.21679,1.21675,1.21679,6.0
1.21679,1.21679,1.21675,1.21675,4.0
1.21675,1.21679,1.21675,1.21679,4.0
1.21679,1.21689,1.21679,1.21689,10.0
1.21689,1.21691,1.21689,1.2169,6.0
1.21689,1.2169,1.21688,1.21689,8.0
1.21689,1.2169,1.21688,1.21689,8.0
1.21688,1.21699,1.21687,1.21697,66.0
1.21697,1.21697,1.21683,1.21683,63.0
1.21683,1.21684,1.21683,1.21683,7.0
