Open,High,Low,Close,Volume,Date
1.37339,1.37349,1.37337,1.37349,18.0,2021-01-26 10:27:30
1.3735,1.37353,1.37342,1.37348,18.0,2021-01-26 10:28:00
1.37348,1.37352,1.37347,1.37349,12.0,2021-01-26 10:28:30
1.37349,1.37359,1.37349,1.37359,9.0,2021-01-26 10:29:00
1.37359,1.37359,1.37346,1.37357,27.0,2021-01-26 10:29:30
1.37356,1.37356,1.37344,1.37346,28.0,2021-01-26 10:30:00
1.37348,1.37357,1.37347,1.37357,21.0,2021-01-26 10:30:30
1.37357,1.37357,1.37348,1.37352,12.0,2021-01-26 10:31:00
1.3735,1.3735,1.37337,1.37337,32.0,2021-01-26 10:31:30
1.37337,1.37337,1.37305,1.37307,49.0,2021-01-26 10:32:00
1.37307,1.37315,1.37301,1.37311,35.0,2021-01-26 10:32:30
1.3731,1.37311,1.37305,1.37309,22.0,2021-01-26 10:33:00
1.37307,1.37325,1.37307,1.37319,30.0,2021-01-26 10:33:30
1.37319,1.37325,1.37319,1.3732,11.0,2021-01-26 10:34:00
1.3732,1.37325,1.37313,1.37319,16.0,2021-01-26 10:34:30
1.37319,1.37319,1.37314,1.37319,13.0,2021-01-26 10:35:00
1.37319,1.37319,1.37307,1.37307,12.0,2021-01-26 10:35:30
1.37307,1.37307,1.37299,1.37303,46.0,2021-01-26 10:36:00
1.37303,1.37323,1.37297,1.37297,89.0,2021-01-26 10:36:30
1.37297,1.37306,1.37297,1.37301,23.0,2021-01-26 10:37:00
1.37304,1.37309,1.37304,1.37309,19.0,2021-01-26 10:37:30
1.37309,1.37311,1.37294,1.37296,24.0,2021-01-26 10:38:00
1.37298,1.37306,1.3729,1.37306,23.0,2021-01-26 10:38:30
1.37306,1.3731,1.37306,1.37306,11.0,2021-01-26 10:39:00
1.37306,1.37311,1.37296,1.37297,19.0,2021-01-26 10:39:30
1.373,1.37301,1.37293,1.373,20.0,2021-01-26 10:40:00
1.373,1.373,1.37294,1.37297,22.0,2021-01-26 10:40:30
1.37297,1.37316,1.37289,1.37315,46.0,2021-01-26 10:41:00
1.37315,1.37323,1.37315,1.37316,23.0,2021-01-26 10:41:30
1.37316,1.37316,1.37304,1.37305,10.0,2021-01-26 10:42:00
1.37305,1.37305,1.37304,1.37304,1.0,2021-01-26 10:42:30
